is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,cluster
True,295509.0,4.66019,78006.0,84.0,0.0,455.0,8640.0,1
True,209070.0,4.58956,54581.00000000001,78.0,0.0,455.0,8640.0,1
True,155282.0,4.59491,52653.0,292.0,2.0,455.0,8640.0,1
True,245860.0,4.54407,46446.99999999999,338.0,0.0,455.0,8640.0,1
True,374836.0,4.4708,41630.0,83.0,0.0,455.0,8640.0,1
True,124180.0,4.56228,38093.0,275.0,0.0,455.0,8640.0,1
True,96207.0,4.32383,30469.999999999996,23.000000000000004,0.0,455.0,8640.0,1
True,127680.00000000001,4.54034,28665.000000000004,275.0,0.0,455.0,8640.0,1
True,112572.0,4.50386,27408.0,144.0,0.0,455.0,8640.0,1
True,115269.0,4.50067,23906.0,413.0,0.0,455.0,8640.0,1
True,86715.0,4.61951,23580.0,117.0,0.0,455.0,8640.0,1
True,82015.0,4.49968,23326.0,67.0,0.0,455.0,8640.0,1
True,68148.0,4.5687,22595.0,43.0,0.0,455.0,5760.0,1
True,76812.0,4.53878,21537.0,41.0,0.0,455.0,8640.0,1
True,78968.0,4.57035,21436.0,286.0,0.0,455.0,8640.0,1
True,182002.0,4.49571,21421.0,225.0,0.0,455.0,8640.0,1
True,114945.0,4.51251,21394.000000000004,101.0,0.0,455.0,8640.0,1
True,88468.0,4.49804,19970.0,160.0,0.0,455.0,8640.0,1
True,72442.0,4.59922,19328.0,102.99999999999999,0.0,455.0,8640.0,1
True,239309.00000000003,4.47381,18322.0,47.0,0.0,455.0,1280.0,1
True,83072.0,4.51891,17617.0,110.99999999999999,0.0,455.0,8640.0,1
True,67329.0,4.56473,17016.0,57.0,0.0,455.0,8640.0,1
True,140676.0,4.4758,17013.0,61.0,0.0,500.0,9280.0,1
True,50037.0,4.42501,15956.0,23.000000000000004,0.0,455.0,2560.0,1
True,48055.0,4.43303,14254.999999999998,44.0,0.0,455.0,4800.0,1
True,74011.0,4.62899,14006.0,88.0,0.0,455.0,8640.0,1
True,102727.00000000001,4.55248,12477.999999999998,78.0,0.0,455.0,8640.0,1
True,49877.0,4.40093,11977.0,88.0,0.0,455.0,8640.0,1
True,59141.0,4.34305,11660.0,39.0,0.0,455.0,8640.0,1
True,38698.0,4.57554,11529.0,31.000000000000004,0.0,455.0,6720.0,1
True,85042.0,4.42296,11007.0,49.0,0.0,455.0,8640.0,1
True,63084.00000000001,4.63452,10979.0,74.0,0.0,455.0,8640.0,1
True,39873.0,4.46625,10725.0,124.00000000000001,0.0,455.0,2560.0,1
True,27681.0,4.47545,10671.0,14.0,0.0,0.0,2240.0,1
True,33319.0,4.38382,10470.0,28.999999999999996,0.0,455.0,1920.0,1
True,158654.0,4.46745,10288.0,205.99999999999997,0.0,540.0,10240.0,1
True,29061.000000000004,4.56978,10102.0,284.0,2.0,455.0,8640.0,1
True,28937.000000000004,4.36402,10059.0,23.000000000000004,0.0,455.0,8640.0,1
True,72406.0,4.4679,9631.0,44.0,0.0,455.0,8640.0,1
True,20978.0,4.45476,9594.0,21.0,1.0,0.0,3200.0,1
True,34296.0,4.4375,9520.0,19.0,0.0,0.0,2240.0,1
True,39816.0,4.41,9195.0,86.0,0.0,455.0,8640.0,1
True,62384.0,4.35213,9196.0,600.0,0.0,546.0,10240.0,1
True,79955.0,4.50237,9107.0,16.0,0.0,533.0,2240.0,1
True,47394.0,4.58716,9081.0,97.00000000000001,0.0,455.0,8640.0,1
True,32818.0,4.41307,8925.0,15.0,0.0,455.0,2560.0,1
True,16511.0,4.51703,8915.0,19.0,0.0,455.0,1280.0,1
True,64080.0,4.45989,8591.0,152.0,0.0,481.00000000000006,8960.0,1
True,21305.0,4.38921,8122.000000000001,38.0,0.0,455.0,8640.0,1
